CustomerKey,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,CustomerSegment,FirstName,LastName,Gender,AnnualIncome,Occupation,RecentOrders,RecentRevenue,PreviousOrders,PreviousRevenue,OrderFrequencyChange,RevenueChange,RecencyRisk,FrequencyRisk,RevenueRisk,HighValueRisk,ChurnRiskScore,ChurnRiskLevel,RevenueDeclineValue,RevenueAtRisk,PriorityScore
11000,2016-11-04,238,2,4656.3896,2,4,5,245,11,At Risk,JON,YANG,M,"$90,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11001,2017-06-12,18,2,2821.2122,5,4,5,545,14,Champions,EUGENE,HUANG,M,"$60,000 ",Professional,1.0,592.6042,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11002,2016-08-27,307,2,4466.812400000001,1,4,5,145,10,At Risk,RUBEN,TORRES,M,"$60,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11003,2016-11-11,231,2,4532.9866,2,4,5,245,11,At Risk,CHRISTY,ZHU,F,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11004,2016-11-02,240,2,4568.0838,2,4,5,245,11,At Risk,ELIZABETH,JOHNSON,F,"$80,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11005,2016-11-03,239,2,4502.7596,2,4,5,245,11,At Risk,JULIO,RUIZ,M,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11007,2016-09-20,283,2,4590.742399999999,1,4,5,145,10,At Risk,MARCO,MEHTA,M,"$60,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11008,2016-09-03,300,2,4502.6982,1,4,5,145,10,At Risk,ROBIN,VERHOFF,F,"$60,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11009,2016-11-10,232,2,4471.392400000001,2,4,5,245,11,At Risk,SHANNON,CARLSON,M,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11010,2016-11-24,218,2,4459.1008,2,4,5,245,11,At Risk,JACQUELYN,SUAREZ,F,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11011,2016-09-20,283,2,4487.1582,1,4,5,145,10,At Risk,CURTIS,LU,M,"$60,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11012,2017-04-17,74,2,91.1842,4,4,2,442,10,Loyal Customers,LAUREN,WALKER,F,"$100,000 ",Management,1.0,12.56,0.0,0.0,0.0,0.0,10,0,0,0,10,Healthy,0.0,0.0,0.0
11013,2016-10-15,258,1,41.6242,1,1,1,111,3,Lost Customers,IAN,JENKINS,M,"$100,000 ",Management,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11014,2016-11-01,241,2,190.8927,2,4,3,243,9,At Risk,SYDNEY,BENNETT,F,"$100,000 ",Management,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11015,2016-07-22,343,1,2274.3796,1,1,4,114,6,Lost Customers,CHLOE,YOUNG,F,"$30,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11016,2016-08-13,321,1,2088.6782,1,1,4,114,6,Lost Customers,WYATT,HILL,M,"$30,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11017,2017-04-16,75,2,2835.4082,4,4,5,445,13,Champions,SHANNON,WANG,F,"$20,000 ",Skilled Manual,1.0,742.35,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
11018,2017-04-26,65,2,2919.3338000000003,4,4,5,445,13,Champions,CLARENCE,RAI,M,"$30,000 ",Clerical,1.0,803.9542,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
11019,2017-06-12,18,15,961.9158,5,5,3,553,13,Loyal Customers,LUKE,LAL,M,"$40,000 ",Skilled Manual,5.0,420.1816,4.0,141.7,0.25,1.9652900494001413,0,0,0,0,0,Healthy,0.0,0.0,0.0
11020,2016-07-02,363,1,2093.0582,1,1,4,114,6,Lost Customers,JORDAN,KING,M,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11021,2016-07-27,338,1,2148.0482,1,1,4,114,6,Lost Customers,DESTINY,WILSON,F,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11022,2016-07-24,341,1,2073.7096,1,1,4,114,6,Lost Customers,ETHAN,ZHANG,M,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11023,2016-08-21,313,1,142.93,1,1,3,113,5,Lost Customers,SETH,EDWARDS,M,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11024,2017-01-27,154,2,78.02000000000001,3,4,2,342,9,Needs Attention,RUSSELL,XIE,M,"$60,000 ",Skilled Manual,0.0,0.0,1.0,28.46,-1.0,-1.0,30,25,20,0,75,Critical,28.46,28.46,2134.5
11025,2017-04-27,64,2,2975.2196000000004,4,4,5,445,13,Champions,ALEJANDRO,BECK,,"$10,000 ",Clerical,1.0,796.34,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
11026,2017-04-17,74,2,2988.8058,4,4,5,445,13,Champions,HAROLD,SAI,M,"$30,000 ",Clerical,1.0,815.3000000000001,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
11027,2017-04-26,65,2,2998.9008,4,4,5,445,13,Champions,JESSIE,ZHAO,M,"$30,000 ",Clerical,1.0,814.89,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
