CustomerKey,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,CustomerSegment,FirstName,LastName,Gender,AnnualIncome,Occupation
11000,2016-11-04,238,2,4656.3896,2,4,5,245,11,At Risk,JON,YANG,M,"$90,000 ",Professional
11001,2017-06-12,18,2,2821.2122,5,4,5,545,14,Champions,EUGENE,HUANG,M,"$60,000 ",Professional
11002,2016-08-27,307,2,4466.812400000001,1,4,5,145,10,At Risk,RUBEN,TORRES,M,"$60,000 ",Professional
11003,2016-11-11,231,2,4532.9866,2,4,5,245,11,At Risk,CHRISTY,ZHU,F,"$70,000 ",Professional
11004,2016-11-02,240,2,4568.0838,2,4,5,245,11,At Risk,ELIZABETH,JOHNSON,F,"$80,000 ",Professional
11005,2016-11-03,239,2,4502.7596,2,4,5,245,11,At Risk,JULIO,RUIZ,M,"$70,000 ",Professional
11007,2016-09-20,283,2,4590.742399999999,1,4,5,145,10,At Risk,MARCO,MEHTA,M,"$60,000 ",Professional
11008,2016-09-03,300,2,4502.6982,1,4,5,145,10,At Risk,ROBIN,VERHOFF,F,"$60,000 ",Professional
11009,2016-11-10,232,2,4471.392400000001,2,4,5,245,11,At Risk,SHANNON,CARLSON,M,"$70,000 ",Professional
11010,2016-11-24,218,2,4459.1008,2,4,5,245,11,At Risk,JACQUELYN,SUAREZ,F,"$70,000 ",Professional
11011,2016-09-20,283,2,4487.1582,1,4,5,145,10,At Risk,CURTIS,LU,M,"$60,000 ",Professional
11012,2017-04-17,74,2,91.1842,4,4,2,442,10,Loyal Customers,LAUREN,WALKER,F,"$100,000 ",Management
11013,2016-10-15,258,1,41.6242,1,1,1,111,3,Lost Customers,IAN,JENKINS,M,"$100,000 ",Management
11014,2016-11-01,241,2,190.8927,2,4,3,243,9,At Risk,SYDNEY,BENNETT,F,"$100,000 ",Management
11015,2016-07-22,343,1,2274.3796,1,1,4,114,6,Lost Customers,CHLOE,YOUNG,F,"$30,000 ",Skilled Manual
11016,2016-08-13,321,1,2088.6782,1,1,4,114,6,Lost Customers,WYATT,HILL,M,"$30,000 ",Skilled Manual
11017,2017-04-16,75,2,2835.4082,4,4,5,445,13,Champions,SHANNON,WANG,F,"$20,000 ",Skilled Manual
